Source,Target,Time
371773953,1105128793679847424,2020-01-27 19:26:28
719766068579999744,2764628845,2020-01-27 19:26:28
1139241910860767233,1163304991668494336,2020-01-27 19:26:28
1202822672314327040,18238260,2020-01-27 19:26:28
1202822672314327040,1178639450122772480,2020-01-27 19:26:28
2697558846,1046641465,2020-01-27 19:26:28
1112383471803162624,1192094863094886400,2020-01-27 19:26:29
2997616065,274737011,2020-01-27 19:26:28
2997616065,3030158859,2020-01-27 19:26:28
1668956558,909160406639431680,2020-01-27 19:26:29
1192304977693331457,1191000839197847552,2020-01-27 19:26:29
1192304977693331457,851330647045963776,2020-01-27 19:26:29
1192304977693331457,1178639450122772480,2020-01-27 19:26:29
976541199522648064,221253317,2020-01-27 19:26:29
976541199522648064,127674940,2020-01-27 19:26:29
2268080102,838633164377509889,2020-01-27 19:26:29
463098029,1690451820,2020-01-27 19:26:29
934984904,54617733,2020-01-27 19:26:29
1176790395461783552,20824583,2020-01-27 19:26:29
751970285662928897,65537597,2020-01-27 19:26:29
1140998254211084288,24897862,2020-01-27 19:26:29
2928518302,131335823,2020-01-27 19:26:29
2928518302,221952464,2020-01-27 19:26:29
1060122656,471302125,2020-01-27 19:26:29
813139099871805440,233183631,2020-01-27 19:26:29
775071159188500481,1128245988479709184,2020-01-27 19:26:29
1972000266,1113898385482887168,2020-01-27 19:26:29
742864740,936079483580440576,2020-01-27 19:26:29
253399122,34868950,2020-01-27 19:26:29
1052621320494567425,1064379086783492097,2020-01-27 19:26:29
832218472180543488,4706300269,2020-01-27 19:26:29
1963180543,3065927091,2020-01-27 19:26:29
4776974717,915686741809549315,2020-01-27 19:26:29
822927813347069953,824322536204865537,2020-01-27 19:26:29
822927813347069953,25073877,2020-01-27 19:26:29
17583047,1092086942198452224,2020-01-27 19:26:29
195673200,56279011,2020-01-27 19:26:29
3294480906,272985460,2020-01-27 19:26:29
764164600161894400,1117123160401432578,2020-01-27 19:26:29
22198741,1059194370,2020-01-27 19:26:29
2229190298,759251,2020-01-27 19:26:29
1039219328791597056,1153542208093487104,2020-01-27 19:26:29
231953842,1961264630,2020-01-27 19:26:29
29970153,857587204947836929,2020-01-27 19:26:29
522303164,965187424707072000,2020-01-27 19:26:29
522303164,1155417748144566274,2020-01-27 19:26:29
522303164,995682457751080960,2020-01-27 19:26:29
522303164,990582807524204544,2020-01-27 19:26:29
2995112945,1648216506,2020-01-27 19:26:29
1216808522379399176,1129335061076164608,2020-01-27 19:26:29
2613691254,2466877850,2020-01-27 19:26:29
1058149143238139906,2161286027,2020-01-27 19:26:29
52287619,392035968,2020-01-27 19:26:29
1161708361085313025,2915196301,2020-01-27 19:26:29
60999735,212381849,2020-01-27 19:26:29
264255998,38495835,2020-01-27 19:26:29
885835607985053697,3102294944,2020-01-27 19:26:29
1722309378,2257245976,2020-01-27 19:26:29
1184864032295194624,1037713053729648640,2020-01-27 19:26:29
785300464820781056,1191364337631465474,2020-01-27 19:26:29
1183760465698185217,1047543346359623681,2020-01-27 19:26:29
1278455395,29226377,2020-01-27 19:26:29
1092171803441672197,1956910224,2020-01-27 19:26:29
966060505868722176,1112834002216476672,2020-01-27 19:26:29
966060505868722176,957613470672916480,2020-01-27 19:26:29
702235197744361472,1205281399340748800,2020-01-27 19:26:29
861358274939105281,3079927208,2020-01-27 19:26:29
179100094,139556944,2020-01-27 19:26:30
1198987437151703040,18238260,2020-01-27 19:26:30
1198987437151703040,1178639450122772480,2020-01-27 19:26:30
1117283221576634370,865899946373001216,2020-01-27 19:26:30
1618610108,2796280931,2020-01-27 19:26:30
891907282673467392,843299257381781505,2020-01-27 19:26:30
1197944346873618433,1200133168025624576,2020-01-27 19:26:30
91253875,1145882350955433990,2020-01-27 19:26:30
1210540243117658112,3004231,2020-01-27 19:26:30
958641080223911936,1044637103739555840,2020-01-27 19:26:30
958641080223911936,1497855840,2020-01-27 19:26:30
2934502380,401516474,2020-01-27 19:26:30
851310581990645760,1149365333674864640,2020-01-27 19:26:30
851310581990645760,64701971,2020-01-27 19:26:30
837819949167042560,1128000949975486464,2020-01-27 19:26:30
171914677,10228272,2020-01-27 19:26:30
3299488539,1051231591077306368,2020-01-27 19:26:30
2229192931,3342250366,2020-01-27 19:26:30
345027878,33924162,2020-01-27 19:26:30
378882363,1170523389980811264,2020-01-27 19:26:30
1634036060,323872736,2020-01-27 19:26:30
3122541668,3022889996,2020-01-27 19:26:30
3122541668,73834352,2020-01-27 19:26:30
722801362665369600,20011389,2020-01-27 19:26:30
1099524343095328768,34396691,2020-01-27 19:26:30
1099524343095328768,56736161,2020-01-27 19:26:30
1099524343095328768,28164096,2020-01-27 19:26:30
307158589,739417207,2020-01-27 19:26:30
1151762151171874816,114972517,2020-01-27 19:26:30
1035247938841337856,1148451738,2020-01-27 19:26:30
1128032600961032192,1014912213692436482,2020-01-27 19:26:30
1182933498643935232,1202208208376360960,2020-01-27 19:26:30
1182933498643935232,1396961022,2020-01-27 19:26:30
1213509237034274817,295520394,2020-01-27 19:26:30
17213774,21164602,2020-01-27 19:26:30
17213774,17213774,2020-01-27 19:26:30
950567039055335424,1059900475695394817,2020-01-27 19:26:30
2438851862,136885994,2020-01-27 19:26:30
2438851862,152902472,2020-01-27 19:26:30
715738851,1164262857556529153,2020-01-27 19:26:30
715738851,27260086,2020-01-27 19:26:30
821682108,160751248,2020-01-27 19:26:30
919963561111183360,813286,2020-01-27 19:26:30
1076306550656884736,249185680,2020-01-27 19:26:30
868384804416376832,1113236296779141122,2020-01-27 19:26:30
463376358,813286,2020-01-27 19:26:30
486812429,739417207,2020-01-27 19:26:30
1635529932,553795674,2020-01-27 19:26:30
289083319,94263493,2020-01-27 19:26:31
1078256794772881409,3004231,2020-01-27 19:26:31
1197915447628324865,828742454,2020-01-27 19:26:31
2843899889,927394278971670528,2020-01-27 19:26:31
1181782937961811968,1176829693200191488,2020-01-27 19:26:31
876889993410732032,1020320980172967936,2020-01-27 19:26:31
414821653,26511472,2020-01-27 19:26:31
1123959332423516161,2493645626,2020-01-27 19:26:30
764580360369954816,745705135284727808,2020-01-27 19:26:31
1152013897517322241,1082081114,2020-01-27 19:26:31
551208828,625874285,2020-01-27 19:26:31
2148061790,2438700475,2020-01-27 19:26:31
2148061790,26617327,2020-01-27 19:26:31
2148061790,933715734,2020-01-27 19:26:31
2148061790,250466278,2020-01-27 19:26:31
4084711779,570371376,2020-01-27 19:26:31
1221876489328713734,839988334155853824,2020-01-27 19:26:31
1221876489328713734,27698202,2020-01-27 19:26:31
1003442507768909825,1181652032299638784,2020-01-27 19:26:31
4884881113,1548977419,2020-01-27 19:26:31
989243168179785729,1058433176899670017,2020-01-27 19:26:31
989243168179785729,1011718803254804480,2020-01-27 19:26:31
295256581,105667055,2020-01-27 19:26:31
1085966903326265344,1032617455967985665,2020-01-27 19:26:31
1204737790770061312,1145825695941222400,2020-01-27 19:26:31
590032550,250831586,2020-01-27 19:26:31
1149659370004897792,1719731425,2020-01-27 19:26:31
779354300841619456,3004231,2020-01-27 19:26:31
3301005243,813286,2020-01-27 19:26:31
2576328641,171266507,2020-01-27 19:26:31
1905870217,288121604,2020-01-27 19:26:31
1094362812216999941,25365536,2020-01-27 19:26:31
1094362812216999941,822288284202070016,2020-01-27 19:26:31
827693250068750336,89423854,2020-01-27 19:26:31
1157056676626931714,1206846101300465665,2020-01-27 19:26:31
33755888,41068931,2020-01-27 19:26:31
3051761758,32480558,2020-01-27 19:26:31
500393918,1069394310284500992,2020-01-27 19:26:31
500393918,14252356,2020-01-27 19:26:31
1141531172213809153,896076204670943232,2020-01-27 19:26:31
1141531172213809153,135272779,2020-01-27 19:26:31
2786932565,884065642285899777,2020-01-27 19:26:31
543537251,1087461060532154368,2020-01-27 19:26:31
725152684559323137,2938612820,2020-01-27 19:26:31
746947605922385920,2394838195,2020-01-27 19:26:31
1209734889215528960,2998958359,2020-01-27 19:26:31
1018193174,51108880,2020-01-27 19:26:31
1018193174,490716057,2020-01-27 19:26:31
1211593445686427651,1218866137590571009,2020-01-27 19:26:31
625337628,250831586,2020-01-27 19:26:31
1201228910219808768,18238260,2020-01-27 19:26:31
1201228910219808768,1178639450122772480,2020-01-27 19:26:31
1219505117239500801,1220083353254166528,2020-01-27 19:26:32
3131209258,1003379825762033664,2020-01-27 19:26:31
2828073749,1158382713918955523,2020-01-27 19:26:32
923784821914005504,1147467855635668993,2020-01-27 19:26:32
1176552816049098752,821974436,2020-01-27 19:26:32
462629626,73936326,2020-01-27 19:26:32
964235449312034816,257664640,2020-01-27 19:26:32
1216613769624739840,1202128597806284800,2020-01-27 19:26:32
1124682223238746112,41068931,2020-01-27 19:26:32
3193357342,213992349,2020-01-27 19:26:32
3244543592,982346124915761152,2020-01-27 19:26:32
1184550220828266496,952467079071846400,2020-01-27 19:26:32
15443544,347358636,2020-01-27 19:26:32
1260176371,714293194071142400,2020-01-27 19:26:32
2300490020,2937613910,2020-01-27 19:26:32
706277322886942722,171266507,2020-01-27 19:26:32
738483854420279297,1176314571491074049,2020-01-27 19:26:32
1221455085907202048,1202300645685882881,2020-01-27 19:26:32
1221455085907202048,851330647045963776,2020-01-27 19:26:32
1218803886695182336,1193519780860289025,2020-01-27 19:26:32
1059607463534755840,17243213,2020-01-27 19:26:32
