Source	Target	Time
1	2	2020-01-27 19:26:28
8350	2	2020-01-27 19:28:33
3	4	2020-01-27 19:26:28
5	6	2020-01-27 19:26:28
7	8	2020-01-27 19:26:28
125	8	2020-01-27 19:26:30
177	8	2020-01-27 19:28:28
291	8	2020-01-27 19:26:31
356	8	2020-01-27 19:26:32
356	8	2020-01-27 19:28:48
454	8	2020-01-27 19:29:07
454	8	2020-01-27 19:29:28
486	8	2020-01-27 19:26:34
672	8	2020-01-27 19:26:36
751	8	2020-01-27 19:26:37
756	8	2020-01-27 19:26:37
761	8	2020-01-27 19:26:37
816	8	2020-01-27 19:26:38
937	8	2020-01-27 19:28:59
937	8	2020-01-27 19:29:41
995	8	2020-01-27 19:26:40
995	8	2020-01-27 19:26:50
997	8	2020-01-27 19:26:40
1060	8	2020-01-27 19:26:41
1161	8	2020-01-27 19:28:14
1186	8	2020-01-27 19:26:43
1380	8	2020-01-27 19:26:45
1426	8	2020-01-27 19:26:46
1460	8	2020-01-27 19:26:46
1531	8	2020-01-27 19:26:47
1588	8	2020-01-27 19:26:48
1607	8	2020-01-27 19:26:48
1631	8	2020-01-27 19:28:08
1690	8	2020-01-27 19:27:08
1693	8	2020-01-27 19:26:49
1755	8	2020-01-27 19:26:50
1904	8	2020-01-27 19:26:52
2008	8	2020-01-27 19:26:54
2008	8	2020-01-27 19:27:27
2008	8	2020-01-27 19:28:12
2029	8	2020-01-27 19:26:54
2030	8	2020-01-27 19:26:59
2056	8	2020-01-27 19:27:09
2194	8	2020-01-27 19:26:57
2215	8	2020-01-27 19:26:57
2248	8	2020-01-27 19:26:58
2260	8	2020-01-27 19:26:58
2292	8	2020-01-27 19:26:58
2324	8	2020-01-27 19:26:59
2324	8	2020-01-27 19:27:14
2364	8	2020-01-27 19:26:58
2606	8	2020-01-27 19:27:33
2748	8	2020-01-27 19:27:05
2806	8	2020-01-27 19:29:23
2822	8	2020-01-27 19:27:06
2893	8	2020-01-27 19:27:07
2947	8	2020-01-27 19:27:37
2964	8	2020-01-27 19:27:08
2974	8	2020-01-27 19:27:08
3104	8	2020-01-27 19:27:10
3178	8	2020-01-27 19:28:44
3182	8	2020-01-27 19:27:12
3224	8	2020-01-27 19:27:12
3242	8	2020-01-27 19:27:13
3400	8	2020-01-27 19:28:46
3403	8	2020-01-27 19:27:15
3579	8	2020-01-27 19:28:28
3643	8	2020-01-27 19:27:19
3684	8	2020-01-27 19:27:20
3846	8	2020-01-27 19:27:22
3997	8	2020-01-27 19:27:25
4007	8	2020-01-27 19:27:59
4083	8	2020-01-27 19:27:26
4175	8	2020-01-27 19:27:27
4324	8	2020-01-27 19:27:29
4348	8	2020-01-27 19:27:29
4361	8	2020-01-27 19:27:29
4394	8	2020-01-27 19:27:30
4428	8	2020-01-27 19:27:31
